x,y,theta,velocity
16.220099,99.271579,-2.817664,
16.024310,99.239349,3.141593,
15.826827,99.212520,-2.926898,
15.629867,99.178005,-2.982400,
15.434990,99.133817,-2.898652,
15.241708,99.082446,-2.881320,
15.048920,99.029260,-2.853210,
14.858794,98.967309,-2.814087,
14.670405,98.900235,-2.774404,
14.484479,98.826559,-2.756138,
14.300018,98.749292,-2.739983,
14.114181,98.675622,-2.723079,
13.934854,98.587279,-2.645247,
13.759345,98.491636,-2.591790,
13.587898,98.388677,-2.630696,
13.413159,98.291392,-2.561036,
13.243091,98.186230,-2.590638,
13.078663,98.072589,-2.509550,
12.915268,97.957309,-2.548507,
12.754987,97.838184,-2.413081,
12.601762,97.709693,-2.463492,
12.444403,97.586274,-2.466899,
12.300786,97.447217,-2.356194,
12.159365,97.305795,-2.356194,
12.017944,97.164374,-2.356194,
11.882438,97.017667,-2.190188,
11.759582,96.859947,-2.269397,
11.632639,96.705426,-2.231574,
11.514325,96.544245,-2.204533,
11.402572,96.378390,-2.159789,
11.298788,96.207441,-2.105770,
11.196407,96.035865,-2.025356,
11.106546,95.857201,-2.048169,
11.018557,95.677658,-1.986651,
10.952980,95.488770,-1.888113,
10.890170,95.298889,-1.891785,
10.834838,95.106881,-1.802074,
10.788092,94.912459,-1.766594,
10.746786,94.716862,-1.710749,
10.722700,94.518758,-1.745058,
10.708769,94.319595,-1.570796,
10.708769,94.119595,-1.570796,
10.708769,93.919595,-1.570796,
10.708769,93.719595,-1.570796,
10.719049,93.520013,-1.447320,
10.740999,93.321390,-1.570796,
10.759678,93.123055,-1.355682,
10.791389,92.925650,-1.435453,
10.812655,92.726849,-1.409448,
10.852741,92.531025,-1.392412,
10.893681,92.335314,-1.333952,
10.933424,92.139416,-1.319465,
10.979330,91.944773,-1.353510,
11.023467,91.749711,-1.341127,
11.072982,91.555963,-1.307185,
11.125690,91.363034,-1.295131,
11.175937,91.169479,-1.337515,
11.228067,90.976435,-1.285993,
11.280524,90.783478,-1.324508,
11.330294,90.589776,-1.312073,
11.383022,90.396856,-1.310476,
11.433628,90.203367,-1.331526,
11.482252,90.009381,-1.335141,
11.530538,89.815299,-1.324053,
11.579166,89.621313,-1.306003,
11.628672,89.427542,-1.323736,
11.677633,89.233631,-1.331981,
11.726700,89.039751,-1.325862,
11.774732,88.845605,-1.329808,
11.822530,88.651415,-1.339622,
11.869891,88.457105,-1.333544,
11.918193,88.263030,-1.344159,
11.962517,88.068004,-1.350103,
12.008013,87.873250,-1.339297,
12.056053,87.679113,-1.330407,
12.105115,87.485230,-1.329869,
12.153823,87.291257,-1.316126,
