x,y,theta,velocity
-22.745160,79.575219,-2.655513,
-22.939046,79.542153,-3.093326,
-23.138641,79.529653,-3.055800,
-23.337672,79.510198,-3.026629,
-23.534768,79.478344,-3.090642,
-23.732431,79.450782,-2.939199,
-23.929071,79.414498,-2.991679,
-24.124724,79.373978,-2.949126,
-24.319940,79.330737,-2.883305,
-24.513905,79.281998,-2.884665,
-24.707813,79.233034,-2.903008,
-24.900506,79.179933,-2.816335,
-25.092249,79.123202,-2.860893,
-25.283284,79.064052,-2.829914,
-25.470554,78.994005,-2.771105,
-25.659019,78.927150,-2.792772,
-25.844734,78.853052,-2.736506,
-26.026663,78.770110,-2.715641,
-26.210216,78.690833,-2.703059,
-26.389468,78.602174,-2.691505,
-26.568348,78.512769,-2.657941,
-26.742218,78.414140,-2.578638,
-26.917436,78.317811,-2.621403,
-27.090158,78.217047,-2.576791,
-27.256729,78.106359,-2.549406,
-27.422560,77.994559,-2.534794,
-27.583787,77.876272,-2.487798,
-27.744411,77.757192,-2.490706,
-27.900950,77.632756,-2.445216,
-28.059223,77.510710,-2.442434,
-28.202075,77.370804,-2.356194,
-28.343497,77.229382,-2.356194,
-28.484918,77.087961,-2.356194,
-28.626339,76.946540,-2.356194,
-28.767761,76.805118,-2.356194,
-28.909182,76.663697,-2.356194,
-29.033188,76.507043,-2.224816,
-29.160356,76.352728,-2.284698,
-29.282430,76.194510,-2.222902,
-29.404018,76.035714,-2.223467,
-29.516907,75.870659,-2.156037,
-29.627188,75.703812,-2.154298,
-29.735371,75.535608,-2.107532,
-29.835393,75.362449,-2.056398,
-29.937067,75.190323,-2.054448,
-30.027908,75.012174,-2.017943,
-30.115424,74.832389,-2.004461,
-30.193748,74.648409,-2.014814,
-30.270395,74.464076,-1.883433,
-30.332088,74.273829,-1.889747,
-30.395891,74.084281,-1.899101,
-30.456059,73.893648,-1.837200,
-30.512636,73.701863,-1.884840,
-30.565193,73.509039,-1.783732,
-30.607579,73.313687,-1.792026,
-30.642700,73.116844,-1.766961,
-30.677019,72.919895,-1.668649,
-30.705425,72.722694,-1.719318,
-30.717849,72.523258,-1.624050,
-30.729458,72.323599,-1.637335,
-30.742216,72.124007,-1.632398,
-30.746310,71.924108,-1.570796,
-30.746310,71.724108,-1.570796,
-30.746310,71.524108,-1.570796,
-30.735599,71.324420,-1.507386,
-30.722477,71.124855,-1.516878,
-30.713661,70.925058,-1.541795,
-30.685426,70.727813,-1.423034,
-30.659648,70.530101,-1.340205,
-30.621313,70.333873,-1.403097,
-30.580565,70.138141,-1.365241,
-30.543880,69.941566,-1.335023,
-30.495282,69.747569,-1.327788,
-30.439307,69.555636,-1.259140,
-30.383854,69.363518,-1.303405,
-30.323411,69.172927,-1.229323,
-30.250804,68.986603,-1.203386,
-30.183893,68.798143,-1.226966,
-30.113423,68.610997,-1.174078,
-30.031060,68.428865,-1.183739,
-29.950758,68.245758,-1.132515,
-29.861815,68.066663,-1.089222,
-29.771501,67.888246,-1.087166,
-29.670419,67.715802,-1.069425,
-29.573910,67.540655,-1.044729,
-29.469964,67.369826,-0.999036,
-29.359696,67.202972,-0.987081,
-29.248294,67.036874,-0.972288,
-29.135980,66.871389,-0.970937,
-29.020326,66.708262,-0.932402,
-28.900997,66.547822,-0.945375,
-28.762969,66.403278,-0.785398,
-28.622164,66.261249,-0.799435,
-28.490244,66.110992,-0.868249,
-28.347778,65.971093,-0.687681,
-28.198171,65.838481,-0.785398,
-28.051401,65.703068,-0.621203,
-27.891752,65.582668,-0.659451,
-27.729913,65.465316,-0.578947,
-27.557925,65.363472,-0.552530,
-27.383119,65.266478,-0.453817,
-27.202809,65.180140,-0.353207,
-27.014827,65.111872,-0.355487,
-26.826958,65.043292,-0.322263,
-26.636670,64.981864,-0.260275,
-26.439914,64.946221,-0.189818,
-26.244032,64.907026,-0.015550,
-26.046880,64.878670,-0.095156,
-25.847064,64.873919,0.000000,
-25.647064,64.873919,0.000000,
-25.447128,64.876415,0.050684,
-25.250151,64.906588,0.058820,
-25.054351,64.944829,0.198556,
-24.858419,64.984883,0.222783,
-24.668584,65.047755,0.330132,
-24.479422,65.112695,0.326528,
-24.298447,65.197511,0.471539,
-24.119960,65.287722,0.489791,
-23.951223,65.394831,0.591336,
-23.789098,65.511800,0.656388,
-23.629050,65.631664,0.600426,
-23.480455,65.764874,0.785398,
-23.339034,65.906295,0.785398,
-23.197922,66.048023,0.796925,
-23.075809,66.206269,0.902078,
-22.947850,66.359966,0.869020,
-22.827262,66.519403,0.907324,
-22.705667,66.678176,0.934606,
-22.592757,66.843236,0.973213,
-22.475661,67.005351,0.932444,
-22.357661,67.166803,0.966730,
-22.245810,67.332589,0.959197,
-22.126879,67.493358,0.920037,
-22.007534,67.653841,0.938497,
-21.881119,67.808788,0.872535,
-21.756877,67.965432,0.934828,
-21.623949,68.114752,0.811633,
-21.463050,68.221012,0.266998,
-21.270137,68.273779,0.266998,
-21.072862,68.293458,-0.004891,
-20.872864,68.292479,-0.004891,
-20.672867,68.291501,-0.004891,
-20.474643,68.266170,-0.140579,
-20.276616,68.238147,-0.140579,
-20.078589,68.210124,-0.140579,
-19.881361,68.178099,-0.253517,
-19.687754,68.127937,-0.253517,
-19.494147,68.077775,-0.253517,
-19.303025,68.019375,-0.332655,
-19.121685,67.944157,-0.988161,
-19.020307,67.771897,-1.069537,
-18.926010,67.595529,-1.090141,
-18.834652,67.417625,-1.087144,
-18.733719,67.245029,-1.069425,
-18.637248,67.069845,-1.051950,
-18.536948,66.896828,-1.020685,
-18.437713,66.723332,-1.098507,
-18.337725,66.550149,-1.040083,
-18.233149,66.379698,-1.053593,
-18.134006,66.206001,-1.053593,
-18.029120,66.035785,-1.045821,
-17.926700,65.864027,-1.009953,
-17.822733,65.693233,-1.052097,
-17.722902,65.519934,-1.039651,
-17.620626,65.348094,-1.069425,
-17.518802,65.175990,-1.016720,
-17.416635,65.004105,-1.060730,
-17.318223,64.830021,-1.040018,
-17.212397,64.660349,-1.053172,
-17.113368,64.486587,-1.052497,
-17.013108,64.313568,-1.012200,
-16.915712,64.138961,-1.087425,
-16.815857,63.965703,-1.003021,
-16.712303,63.794692,-1.054488,
-16.612209,63.621556,-1.026746,
-16.509397,63.450081,-1.079725,
-16.411769,63.275548,-1.045238,
-16.306858,63.105299,-1.015559,
-16.208419,62.931233,-1.066099,
-16.113596,62.755148,-1.044251,
-16.010158,62.584109,-1.053522,
-15.910498,62.410710,-1.021440,
-15.807229,62.239485,-1.056080,
-15.711045,62.064159,-1.054756,
-15.612327,61.890240,-1.026271,
-15.511402,61.717642,-1.086967,
-15.415451,61.542177,-1.066341,
-15.313891,61.369957,-1.028714,
-15.217020,61.195026,-1.062348,
-15.116893,61.021909,-1.026989,
-15.013533,60.850755,-1.074010,
-14.917211,60.675484,-1.057242,
-14.817000,60.502416,-1.024094,
-14.717898,60.328776,-1.083163,
-14.620984,60.153840,-1.054257,
-14.518489,59.982152,-1.069425,
-14.421700,59.807196,-1.033092,
-14.316926,59.636857,-1.011850,
-14.216280,59.464078,-1.058077,
-14.121645,59.287915,-1.069441,
-14.019226,59.116304,-1.046063,
-13.921042,58.942080,-1.088120,
-13.826806,58.765686,-0.993913,
-13.723342,58.594657,-1.067958,
-13.625616,58.420163,-1.050610,
-13.522252,58.249007,-1.020613,
-13.422350,58.075779,-1.058597,
-13.322406,57.902560,-1.024094,
-13.222917,57.729143,-1.082094,
-13.124239,57.555210,-1.040794,
-13.020445,57.384354,-1.050711,
-12.920720,57.210991,-1.021440,
-12.817205,57.039897,-1.062616,
-12.721588,56.864258,-1.059876,
-12.623426,56.690027,-1.026135,
-12.522849,56.517281,-1.092433,
-12.424188,56.343334,-1.017920,
-12.319485,56.172974,-1.055924,
-12.219133,55.999983,-1.033485,
-12.115131,55.829155,-1.022373,
-12.018944,55.653832,-1.050554,
-11.917009,55.481795,-1.000695,
-11.814107,55.310359,-1.046364,
-11.711129,55.138958,-0.988083,
-11.610776,54.966013,-1.050064,
-11.509283,54.793698,-1.023808,
-11.410143,54.620127,-1.101040,
-11.311408,54.446226,-1.015196,
-11.206487,54.275982,-1.048817,
-11.105228,54.103527,-1.017987,
-11.000553,53.933151,-1.049507,
-10.900534,53.759958,-1.041198,
-10.797567,53.588529,-1.069425,
-10.701469,53.413143,-1.050554,
-10.598109,53.241975,-0.997919,
