x,y,theta,velocity
54.348939,92.913076,-2.653096,
54.156323,92.871039,-3.082447,
53.956816,92.857034,-3.064977,
53.757320,92.842910,-3.077804,
53.558485,92.824020,-2.901582,
53.361699,92.790828,-3.048948,
53.162399,92.774168,-3.062946,
52.962844,92.760884,-3.074146,
52.765873,92.729808,-2.896842,
52.567052,92.709804,-3.072642,
52.367593,92.695111,-3.065793,
52.168589,92.675641,-3.010148,
51.971975,92.641872,-3.070700,
51.772467,92.627864,-3.064938,
51.573114,92.611819,-3.053505,
51.375216,92.584849,-2.905332,
51.177218,92.559592,-3.071765,
50.977752,92.545009,-3.064672,
50.778231,92.531215,-3.076781,
50.580671,92.502998,-2.879771,
50.382041,92.483141,-3.070898,
50.182601,92.468212,-3.062833,
49.983203,92.452725,-3.032949,
49.786313,92.419608,-2.984952,
49.586994,92.404970,-3.073732,
49.387513,92.390590,-3.066348,
49.188153,92.374621,-3.024219,
48.991279,92.341009,-3.010962,
48.791808,92.328112,-3.073354,
48.592354,92.313379,-3.063155,
48.393221,92.294949,-2.999196,
48.196663,92.259722,-3.043172,
47.997139,92.246136,-3.070794,
47.797741,92.230628,-3.067772,
47.598510,92.213372,-3.037006,
47.401798,92.179408,-3.066149,
47.202195,92.166906,-3.073356,
47.002781,92.151620,-3.056221,
46.804442,92.127726,-2.893608,
46.607133,92.098686,-3.073307,
46.407648,92.084368,-3.064844,
46.208134,92.070497,-3.077959,
46.009932,92.046550,-2.878285,
45.812218,92.020570,-3.075857,
45.612692,92.006819,-3.067722,
45.413200,91.992582,-3.072587,
45.216067,91.962187,-2.862285,
45.017577,91.939941,-3.070365,
44.818188,91.924346,-3.061124,
44.619006,91.906580,-3.027106,
44.422512,91.871554,-3.053231,
44.223127,91.855931,-3.058444,
44.023848,91.838977,-3.054310,
43.827003,91.806038,-2.888805,
43.628360,91.784789,-3.070891,
43.428912,91.769942,-3.065400,
43.229834,91.751175,-3.013792,
43.033256,91.716943,-3.068232,
42.833776,91.702551,-3.062354,
42.634475,91.685885,-3.049812,
42.437292,91.654980,-2.911469,
42.238828,91.633113,-3.066874,
42.039753,91.614144,-3.035194,
41.842386,91.582547,-2.936174,
41.644373,91.557754,-3.070070,
41.444961,91.542464,-3.060086,
41.245927,91.523071,-3.001319,
41.049465,91.487214,-3.024379,
40.849986,91.472959,-3.068420,
