x,y,theta,velocity
-14.787332,27.348973,-2.653248,
-14.973933,27.279051,-2.783471,
-15.143577,27.173527,-2.560291,
-15.306113,27.057519,-2.399960,
-15.429293,26.900598,-2.250569,
-15.548732,26.740430,-2.127105,
-15.649485,26.567758,-2.058807,
-15.737733,26.388379,-1.992195,
-15.799384,26.198332,-1.803983,
-15.844241,26.003577,-1.701427,
-15.852950,25.803985,-1.572031,
-15.851186,25.604008,-1.545590,
-15.821915,25.406701,-1.328779,
-15.785216,25.210377,-1.265378,
-15.713969,25.023737,-1.136588,
-15.625294,24.844535,-1.126540,
-15.535818,24.665706,-1.126329,
-15.446719,24.486690,-1.129872,
-15.353237,24.309998,-1.007389,
-15.247598,24.140177,-1.021455,
-15.142414,23.970072,-1.011622,
-15.037543,23.799806,-1.042580,
-14.930827,23.630720,-0.982735,
-14.821482,23.463264,-1.003892,
-14.715441,23.293695,-1.017144,
-14.609246,23.124218,-1.008414,
-14.507319,22.952159,-1.016683,
-14.399815,22.783520,-1.002932,
-14.294686,22.613417,-1.039502,
-14.194023,22.440598,-1.052790,
-14.090034,22.269809,-1.015027,
-13.985145,22.099521,-1.011622,
-13.878468,21.930351,-1.024222,
-13.775489,21.758908,-1.023777,
-13.665112,21.592126,-0.989153,
-13.557706,21.423421,-1.017724,
-13.452162,21.253538,-1.011622,
-13.348547,21.082513,-1.034791,
-13.243412,20.912396,-0.995934,
-13.135566,20.743967,-1.004505,
-13.029590,20.574354,-1.006583,
-12.923204,20.405017,-1.034058,
-12.821341,20.232902,-1.033089,
-12.712547,20.065094,-0.992480,
-12.604414,19.896848,-1.001912,
-12.496695,19.728336,-1.010698,
-12.394723,19.556316,-1.040423,
-12.288225,19.387048,-0.996925,
-12.180933,19.218266,-1.014620,
-12.075024,19.048610,-1.010552,
-11.970976,18.877849,-1.031350,
-11.866575,18.707274,-0.995557,
-11.758862,18.538762,-1.008055,
-11.653559,18.368731,-1.011622,
-11.547073,18.199443,-1.020386,
-11.443123,18.028615,-0.985789,
-11.331809,17.862457,-0.981903,
-11.221188,17.695836,-0.987669,
-11.113033,17.527605,-1.004419,
-11.007012,17.358021,-1.011006,
-10.900951,17.188476,-1.045914,
-10.798444,17.016751,-1.022279,
-10.691093,16.848021,-1.007622,
-10.585172,16.678375,-1.018581,
-10.478964,16.508910,-1.001106,
-10.375027,16.338062,-1.023621,
-10.266438,16.170140,-0.988905,
-10.157952,16.002127,-1.004264,
-10.052460,15.832212,-1.011622,
-9.947366,15.662087,-1.046790,
-9.844009,15.490873,-1.019701,
-9.736257,15.322385,-1.007122,
-9.630491,15.152641,-1.016284,
-9.522943,14.984022,-0.997773,
-9.420481,14.812271,-1.033089,
-9.313618,14.643253,-0.991602,
-9.205064,14.475278,-1.002036,
-9.097292,14.306799,-1.001338,
-8.993537,14.135874,-1.040495,
-8.889127,13.965318,-0.996177,
-8.781060,13.797030,-1.003159,
-8.675165,13.627366,-1.011227,
-8.570130,13.457200,-1.045630,
-8.467168,13.285744,-1.023775,
-8.359500,13.117210,-1.007379,
-8.253770,12.947445,-1.017772,
-8.147088,12.778277,-1.001106,
-8.043580,12.607160,-1.023621,
-7.934237,12.439711,-0.988905,
-7.826298,12.271346,-1.017772,
-7.720859,12.101398,-1.011622,
-7.616286,11.930961,-1.030953,
-7.511933,11.760356,-0.997108,
-7.404356,11.591755,-1.008065,
-7.298734,11.421923,-1.006786,
-7.190711,11.253611,-0.983347,
-7.080297,11.086852,-0.987669,
-6.974462,10.917181,-1.031775,
