x,y,theta,velocity
151.500000,296.750000,-2.877590,
151.302481,296.725132,-3.133392,
151.102482,296.725000,3.141593,
150.902482,296.725000,3.141593,
150.702482,296.725000,3.141593,
150.502823,296.719789,-2.909338,
150.304137,296.699354,-3.081243,
150.104403,296.689203,-3.099279,
149.904559,296.681372,-3.109569,
149.704649,296.675374,-3.114193,
149.504654,296.675000,3.141593,
149.304658,296.674781,-3.102971,
149.107034,296.648767,-3.095483,
148.907231,296.639935,-3.103918,
148.707371,296.632460,-3.106256,
148.507483,296.625768,-3.111803,
148.307495,296.625000,3.141593,
148.109458,296.607788,-2.848462,
147.910132,296.597056,-3.099247,
147.710322,296.588343,-3.095846,
147.510517,296.579504,-3.099247,
147.310602,296.575000,3.141593,
147.113101,296.550000,3.141593,
146.913221,296.544324,-3.094587,
146.713472,296.534320,-3.090359,
146.513672,296.525424,-3.103916,
146.316160,296.500397,-3.094134,
146.116237,296.496839,-3.088774,
145.916546,296.485730,-3.083377,
145.717096,296.471329,-3.041284,
145.519412,296.448162,-3.103066,
145.319649,296.438467,-3.088775,
145.119905,296.428368,-3.093257,
144.920989,296.414097,-2.856486,
144.722521,296.400000,3.141593,
144.523759,296.379985,-3.004779,
144.325081,296.357117,-3.040458,
144.125367,296.350000,3.141593,
143.925691,296.339216,-3.056406,
143.726689,296.319507,-3.024552,
143.528218,296.300000,3.141593,
143.328936,296.287474,-3.006081,
143.130486,296.262680,-3.039180,
142.931062,296.250000,3.141593,
142.733581,296.225970,-3.017243,
142.534031,296.212656,-3.068429,
142.334452,296.199760,-3.086819,
142.137212,296.169595,-3.049722,
141.937740,296.155181,-3.079121,
141.738610,296.141468,-2.901638,
141.540683,296.117234,-3.076751,
141.341224,296.102529,-3.066384,
141.143886,296.075000,3.141593,
140.944654,296.060938,-2.994358,
140.747012,296.030395,-3.004520,
140.547702,296.014471,-3.068429,
140.348392,295.998159,-3.024208,
140.150794,295.975000,3.141593,
139.952027,295.954827,-2.992658,
139.754199,295.925895,-3.089419,
139.556463,295.904084,-2.997248,
139.357553,295.883640,-3.053331,
139.158695,295.862452,-3.022367,
138.961085,295.831745,-2.997728,
138.761902,295.816011,-3.033690,
138.563983,295.787557,-2.970736,
138.365022,295.772337,-3.041169,
138.168003,295.740363,-3.054500,
137.968715,295.723583,-3.045694,
137.771269,295.698574,-3.081375,
137.574293,295.664502,-3.006445,
137.375821,295.639946,-3.030937,
137.177534,295.615209,-2.901088,
136.979598,295.590176,-3.047401,
136.781328,295.564878,-2.851030,
136.583415,295.542927,-2.980899,
136.386439,295.508346,-2.973529,
136.188170,295.484868,-2.950297,
135.990807,295.452918,-3.061368,
135.793607,295.423598,-3.029197,
135.594841,295.401534,-3.014470,
135.397573,295.368854,-2.955593,
135.199285,295.345428,-2.980260,
135.002373,295.310906,-3.001094,
134.804334,295.285392,-2.918553,
134.606583,295.256606,-3.056972,
134.409476,295.225871,-3.038135,
134.212653,295.192481,-3.015211,
134.014752,295.163848,-2.969617,
133.817840,295.128947,-2.981688,
133.619670,295.102413,-3.054594,
133.422290,295.074839,-3.104721,
133.225503,295.041009,-2.977941,
133.027981,295.010977,-2.898695,
132.830717,294.978816,-3.025525,
132.634123,294.942716,-2.979420,
132.436469,294.913253,-2.896848,
132.239455,294.879723,-3.024029,
132.042878,294.843992,-2.979951,
131.846304,294.807784,-2.914359,
131.648144,294.781681,-3.016724,
131.451716,294.744642,-2.981835,
131.253932,294.715343,-2.948973,
131.058469,294.674156,-2.924366,
130.861253,294.640919,-2.977522,
130.665096,294.602357,-3.000089,
130.467335,294.572974,-2.941800,
130.270558,294.539847,-2.854466,
130.074207,294.502561,-2.950024,
129.878216,294.462768,-2.929901,
129.681529,294.429431,-2.993141,
129.485388,294.391464,-2.975098,
129.289624,294.350934,-2.973292,
