x,y,theta,velocity
-49.734700,-0.901583,0.000000,
-49.534700,-0.901583,0.000000,
-49.334700,-0.901583,0.000000,
-49.134700,-0.901583,0.000000,
-48.934700,-0.901583,0.000000,
-48.734700,-0.901583,0.000000,
-48.534700,-0.901583,0.000000,
-48.334700,-0.901583,0.000000,
-48.134700,-0.901583,0.000000,
-47.934700,-0.901583,0.000000,
-47.734700,-0.901583,0.000000,
-47.534700,-0.901583,0.000000,
-47.334700,-0.901583,0.000000,
-47.134700,-0.901583,0.000000,
-46.934700,-0.901583,0.000000,
-46.734700,-0.901583,0.000000,
-46.534700,-0.901583,0.000000,
-46.334700,-0.901583,0.000000,
-46.134700,-0.901583,0.000000,
-45.934700,-0.901583,0.000000,
-45.734743,-0.905613,-0.021050,
-45.534787,-0.909822,-0.021050,
-45.334831,-0.914032,-0.021050,
-45.134876,-0.918241,-0.021050,
-44.934920,-0.922451,-0.021050,
-44.734964,-0.926661,-0.021050,
-44.535009,-0.930870,-0.021050,
-44.335053,-0.935080,-0.021050,
-44.135097,-0.939289,-0.021050,
-43.935142,-0.943499,-0.021050,
-43.735186,-0.947709,-0.021050,
-43.535230,-0.951918,-0.021050,
-43.335275,-0.956128,-0.021050,
-43.135319,-0.960337,-0.021050,
-42.935363,-0.964547,-0.021050,
-42.735407,-0.968757,-0.021050,
-42.535452,-0.972966,-0.021050,
-42.335496,-0.977176,-0.021050,
-42.135540,-0.981385,-0.021050,
-41.935585,-0.985595,-0.021050,
-41.735629,-0.989804,-0.021050,
-41.535673,-0.994014,-0.021050,
-41.335718,-0.998224,-0.021050,
-41.135762,-1.002433,-0.021050,
-40.935806,-1.006643,-0.021050,
-40.735851,-1.010852,-0.021050,
-40.535895,-1.015062,-0.021050,
-40.335939,-1.019272,-0.021050,
-40.135983,-1.023481,-0.021050,
-39.936028,-1.027691,-0.021050,
-39.736072,-1.031900,-0.021050,
-39.536116,-1.036110,-0.021050,
-39.336161,-1.040320,-0.021050,
-39.136205,-1.044529,-0.021050,
-38.936249,-1.048739,-0.021050,
-38.736294,-1.052948,-0.021050,
-38.536338,-1.057158,-0.021050,
-38.336382,-1.061368,-0.021050,
-38.136427,-1.065577,-0.021050,
-37.936453,-1.065647,0.012269,
-37.736468,-1.063193,0.012269,
-37.536483,-1.060739,0.012269,
-37.336498,-1.058285,0.012269,
-37.136513,-1.055832,0.012269,
-36.936528,-1.053378,0.012269,
-36.736543,-1.050924,0.012269,
-36.536558,-1.048470,0.012269,
-36.336573,-1.046016,0.012269,
-36.136588,-1.043563,0.012269,
-35.936603,-1.041109,0.012269,
-35.736618,-1.038655,0.012269,
-35.536633,-1.036201,0.012269,
-35.336648,-1.033747,0.012269,
-35.136663,-1.031294,0.012269,
-34.936678,-1.028840,0.012269,
-34.736694,-1.026386,0.012269,
-34.536709,-1.023932,0.012269,
-34.336724,-1.021478,0.012269,
-34.136739,-1.019025,0.012269,
-33.936754,-1.016571,0.012269,
-33.736769,-1.014117,0.012269,
-33.536784,-1.011663,0.012269,
-33.336799,-1.009209,0.012269,
-33.136814,-1.006756,0.012269,
-32.936829,-1.004302,0.012269,
-32.736844,-1.001848,0.012269,
-32.536859,-0.999394,0.012269,
-32.336874,-0.996940,0.012269,
-32.136889,-0.994487,0.012269,
-31.936904,-0.992033,0.012269,
-31.736919,-0.989579,0.012269,
-31.536934,-0.987125,0.012269,
-31.336949,-0.984671,0.012269,
-31.136964,-0.982218,0.012269,
-30.936980,-0.979764,0.012269,
-30.736995,-0.977310,0.012269,
-30.537010,-0.974856,0.012269,
-30.337025,-0.972402,0.012269,
-30.137040,-0.969948,0.012269,
-29.937055,-0.967495,0.012269,
-29.737070,-0.965041,0.012269,
-29.537085,-0.962587,0.012269,
-29.337100,-0.960133,0.012269,
-29.137115,-0.957679,0.012269,
-28.937130,-0.955226,0.012269,
-28.737145,-0.952772,0.012269,
-28.537160,-0.950318,0.012269,
-28.337175,-0.947864,0.012269,
-28.137190,-0.945410,0.012269,
-27.937205,-0.942957,0.012269,
-27.737220,-0.940503,0.012269,
-27.537235,-0.938049,0.012269,
-27.337250,-0.935595,0.012269,
-27.137266,-0.933141,0.012269,
-26.937281,-0.930688,0.012269,
-26.737296,-0.928234,0.012269,
-26.537311,-0.925780,0.012269,
-26.337326,-0.923326,0.012269,
-26.137341,-0.920872,0.012269,
-25.937356,-0.918419,0.012269,
-25.737371,-0.915965,0.012269,
-25.537386,-0.913511,0.012269,
-25.337401,-0.911057,0.012269,
-25.137416,-0.908603,0.012269,
-24.937431,-0.906150,0.012269,
-24.737446,-0.903696,0.012269,
-24.537459,-0.901583,0.000000,
-24.337459,-0.901583,0.000000,
-24.137459,-0.901583,0.000000,
-23.937459,-0.901583,0.000000,
-23.737459,-0.901583,0.000000,
-23.537459,-0.901583,0.000000,
-23.337459,-0.901583,0.000000,
-23.137459,-0.901583,0.000000,
-22.937459,-0.901583,0.000000,
-22.737459,-0.901583,0.000000,
-22.537459,-0.901583,0.000000,
-22.337459,-0.901583,0.000000,
-22.137459,-0.901583,0.000000,
-21.937459,-0.901583,0.000000,
